Subject,Condition,FilterConfiguration,LowPassCutoffHz,GlobalMeanHbO
3,1,TDDR only,NaN,0.018328614277173
3,1,TDDR + LP 0.05 Hz,0.05,0.0113530258139146
3,1,TDDR + LP 0.10 Hz,0.1,0.0116338821884269
3,1,TDDR + LP 0.20 Hz,0.2,0.0176875722429381
3,2,TDDR only,NaN,-0.0146657856550834
3,2,TDDR + LP 0.05 Hz,0.05,-0.0303993266570602
3,2,TDDR + LP 0.10 Hz,0.1,-0.0215783857375973
3,2,TDDR + LP 0.20 Hz,0.2,-0.0149522014801869
3,3,TDDR only,NaN,-0.0668552077751229
3,3,TDDR + LP 0.05 Hz,0.05,-0.0626286578804337
3,3,TDDR + LP 0.10 Hz,0.1,-0.0647286630316928
3,3,TDDR + LP 0.20 Hz,0.2,-0.0665455566663864
4,1,TDDR only,NaN,-0.0236227139538955
4,1,TDDR + LP 0.05 Hz,0.05,-0.0292174435179975
4,1,TDDR + LP 0.10 Hz,0.1,-0.0238551123584808
4,1,TDDR + LP 0.20 Hz,0.2,-0.0234702562282328
4,2,TDDR only,NaN,-0.0518731595988125
4,2,TDDR + LP 0.05 Hz,0.05,-0.0524457854364338
4,2,TDDR + LP 0.10 Hz,0.1,-0.0544017548161257
4,2,TDDR + LP 0.20 Hz,0.2,-0.0521009710236183
4,3,TDDR only,NaN,0.0119196692673166
4,3,TDDR + LP 0.05 Hz,0.05,0.000918578270602345
4,3,TDDR + LP 0.10 Hz,0.1,0.00979761687068263
4,3,TDDR + LP 0.20 Hz,0.2,0.0119974065389578
5,1,TDDR only,NaN,-0.0095526394193985
5,1,TDDR + LP 0.05 Hz,0.05,-0.0125322845463839
5,1,TDDR + LP 0.10 Hz,0.1,-0.0103840317483056
5,1,TDDR + LP 0.20 Hz,0.2,-0.00948242934659243
5,2,TDDR only,NaN,0.00232082765711518
5,2,TDDR + LP 0.05 Hz,0.05,0.00275110972206023
5,2,TDDR + LP 0.10 Hz,0.1,-0.00022823193735783
5,2,TDDR + LP 0.20 Hz,0.2,0.00205174330437501
5,3,TDDR only,NaN,-0.0194444123041435
5,3,TDDR + LP 0.05 Hz,0.05,-0.0157580100765928
5,3,TDDR + LP 0.10 Hz,0.1,-0.0182418794920018
5,3,TDDR + LP 0.20 Hz,0.2,-0.0194321724167779
6,1,TDDR only,NaN,-0.0081572077506791
6,1,TDDR + LP 0.05 Hz,0.05,-0.00122781038774948
6,1,TDDR + LP 0.10 Hz,0.1,-0.00424349696399031
6,1,TDDR + LP 0.20 Hz,0.2,-0.00814571021690027
6,2,TDDR only,NaN,-0.0650099737730791
6,2,TDDR + LP 0.05 Hz,0.05,-0.0613086418561856
6,2,TDDR + LP 0.10 Hz,0.1,-0.0625370997486429
6,2,TDDR + LP 0.20 Hz,0.2,-0.0651382072456992
6,3,TDDR only,NaN,-0.0363651264055329
6,3,TDDR + LP 0.05 Hz,0.05,-0.052251317202186
6,3,TDDR + LP 0.10 Hz,0.1,-0.0398423334016842
6,3,TDDR + LP 0.20 Hz,0.2,-0.0365361797845306
8,1,TDDR only,NaN,0.00506054006104901
8,1,TDDR + LP 0.05 Hz,0.05,-0.020979653959888
8,1,TDDR + LP 0.10 Hz,0.1,-0.00224731189666793
8,1,TDDR + LP 0.20 Hz,0.2,0.00458419996609138
8,2,TDDR only,NaN,-0.117337174750751
8,2,TDDR + LP 0.05 Hz,0.05,-0.118505530326163
8,2,TDDR + LP 0.10 Hz,0.1,-0.119510842758375
8,2,TDDR + LP 0.20 Hz,0.2,-0.11732123922885
8,3,TDDR only,NaN,0.191712991109546
8,3,TDDR + LP 0.05 Hz,0.05,0.175000434185597
8,3,TDDR + LP 0.10 Hz,0.1,0.186375967405497
8,3,TDDR + LP 0.20 Hz,0.2,0.191095447989061
